userId,productId
U73,P36
U73,P10
U73,P28
U73,P9
U74,P20
U74,P24
U74,P3
U75,P14
U75,P44
U75,P16
U75,P43
U75,P7
U76,P50
U76,P36
U76,P27
U76,P40
U76,P48
U77,P16
U77,P11
U77,P12
U77,P27
U78,P12
U78,P48
U78,P22
U79,P43
U79,P48
U79,P16
U79,P18
U79,P11
U79,P45
U80,P25
U80,P3
U80,P31
U81,P13
U81,P30
U81,P23
U81,P20
U82,P15
U82,P2
U82,P43
U82,P13
U83,P22
U83,P18
U83,P5
U83,P49
U83,P23
U83,P42
U84,P26
U84,P44
U84,P35
U84,P22
U84,P2
U84,P8
U84,P17
U85,P38
U85,P17
U85,P3
U85,P7
U86,P28
U86,P23
U86,P47
U86,P21
U86,P50
U86,P39
U86,P33
U87,P25
U87,P37
U87,P13
U88,P3
U88,P46
U88,P28
U88,P1
U88,P34
U89,P44
U89,P47
U89,P48
U89,P43
U89,P13
U89,P24
U89,P28
U90,P43
U90,P22
U90,P40
U91,P43
U91,P8
U91,P47
U91,P20
U91,P33
U92,P43
U92,P27
U92,P21
U92,P26
U92,P45
U93,P36
U93,P9
U93,P13
U93,P27
U93,P43
U94,P44
U94,P48
U94,P12
U94,P40
U94,P37
U94,P20
U95,P36
U95,P1
U95,P20
U95,P19
U95,P14
U95,P28
U96,P39
U96,P42
U96,P21
U96,P30
U96,P29
U96,P46
U96,P44
U97,P33
U97,P31
U97,P48
U97,P11
U98,P6
U98,P19
U98,P33
U98,P43
U98,P41
U98,P40
U98,P22
U98,P50
U99,P44
U99,P20
U99,P15
U99,P13
U100,P2
U100,P3
U100,P16
U100,P31
